Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
0,2.09375,3.3203125,0.29296875,1.0,9.12109375,0.67578125,0.0,0.228985020372598,0.1705841461502968,0.0625325419241947,0.0,,
1,8.90625,3.3203125,0.29296875,1.0,9.12109375,0.67578125,1.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,0.0,,
2,2.09375,2.4609375,0.29296875,1.0,9.12109375,0.67578125,2.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,0.0,,
3,2.09375,3.3203125,0.10546875,1.0,9.12109375,0.67578125,3.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,0.0,,
4,2.09375,3.3203125,0.29296875,4.0,9.12109375,0.67578125,4.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,0.0,,
5,2.09375,3.3203125,0.29296875,1.0,7.64453125,0.67578125,5.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,0.0,,
6,2.09375,3.3203125,0.29296875,1.0,9.12109375,0.73828125,6.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,0.0,,
7,8.90625,2.4609375,0.10546875,4.0,7.64453125,0.73828125,7.0,0.4632178333531094,0.4713531459931213,0.0746767946951205,0.0,,
8,6.09375,8.3203125,0.79296875,3.0,4.62109375,0.17578125,8.0,0.4632178333531094,0.4713531459931213,0.0746767946951205,0.0,,
9,4.90625,8.3203125,0.79296875,3.0,4.62109375,0.17578125,9.0,0.4632178333531094,0.4713531459931213,0.0746767946951205,0.0,,
10,2.09375,3.3203125,0.29296875,1.0,9.12109375,0.67578125,10.0,0.4632178333531094,0.4713531459931213,0.0746767946951205,1.0,,
11,8.90625,3.3203125,0.29296875,1.0,9.12109375,0.67578125,11.0,0.1352325609405726,0.1371246446318396,0.060353941263907,1.0,,
12,2.09375,2.4609375,0.29296875,1.0,9.12109375,0.67578125,12.0,0.1352325609405726,0.1371246446318396,0.060353941263907,1.0,,
13,2.09375,3.3203125,0.10546875,1.0,9.12109375,0.67578125,13.0,0.1352325609405726,0.1371246446318396,0.060353941263907,1.0,,
14,2.09375,3.3203125,0.29296875,4.0,9.12109375,0.67578125,14.0,0.1352325609405726,0.1371246446318396,0.060353941263907,1.0,,
15,2.09375,3.3203125,0.29296875,1.0,7.64453125,0.67578125,15.0,0.1352325609405726,0.1371246446318396,0.060353941263907,1.0,,
16,2.09375,3.3203125,0.29296875,1.0,9.12109375,0.73828125,16.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,1.0,,
17,8.90625,2.4609375,0.10546875,4.0,7.64453125,0.73828125,17.0,0.2438604417990715,0.2160174317121584,0.0147024677757137,1.0,,
18,6.09375,8.3203125,0.79296875,3.0,4.62109375,0.17578125,18.0,0.1352325609405726,0.1371246446318396,0.060353941263907,1.0,,
19,4.90625,8.3203125,0.79296875,3.0,4.62109375,0.17578125,19.0,0.1352325609405726,0.1371246446318396,0.060353941263907,1.0,,
20,2.09375,3.3203125,0.29296875,1.0,9.12109375,0.67578125,20.0,0.2438604417990715,0.2160174317121584,0.0147024677757137,2.0,,
21,8.90625,3.3203125,0.29296875,1.0,9.12109375,0.67578125,21.0,0.2282233085992412,0.1814974905419004,0.0596018495070843,2.0,,
22,2.09375,2.4609375,0.29296875,1.0,9.12109375,0.67578125,22.0,0.1352325609405726,0.1371246446318396,0.060353941263907,2.0,,
23,2.09375,3.3203125,0.10546875,1.0,9.12109375,0.67578125,23.0,0.1352325609405726,0.1371246446318396,0.060353941263907,2.0,,
24,2.09375,3.3203125,0.29296875,4.0,9.12109375,0.67578125,24.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,2.0,,
25,2.09375,3.3203125,0.29296875,1.0,7.64453125,0.67578125,25.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,2.0,,
26,2.09375,3.3203125,0.29296875,1.0,9.12109375,0.73828125,26.0,0.1422806992784968,0.1483512304860763,0.0589787536460457,2.0,,
27,8.90625,2.4609375,0.10546875,4.0,7.64453125,0.73828125,27.0,0.2582289226829667,0.289792035419726,0.0253216851901265,2.0,,
