Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,conformity,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
0,2.09375,3.3203125,0.29296875,1,9.12109375,0.67578125,0,0.22898502,0.170584146,0.062532542,0,,
1,8.90625,3.3203125,0.29296875,1,9.12109375,0.67578125,1,0.142280699,0.14835123,0.058978754,0,,
2,2.09375,2.4609375,0.29296875,1,9.12109375,0.67578125,2,0.142280699,0.14835123,0.058978754,0,,
3,2.09375,3.3203125,0.10546875,1,9.12109375,0.67578125,3,0.142280699,0.14835123,0.058978754,0,,
4,2.09375,3.3203125,0.29296875,4,9.12109375,0.67578125,4,0.142280699,0.14835123,0.058978754,0,,
5,2.09375,3.3203125,0.29296875,1,7.64453125,0.67578125,5,0.142280699,0.14835123,0.058978754,0,,
6,2.09375,3.3203125,0.29296875,1,9.12109375,0.73828125,6,0.142280699,0.14835123,0.058978754,0,,
7,8.90625,2.4609375,0.10546875,4,7.64453125,0.73828125,7,0.463217833,0.471353146,0.074676795,0,,
8,6.09375,8.3203125,0.79296875,3,4.62109375,0.17578125,8,0.463217833,0.471353146,0.074676795,0,,
9,4.90625,8.3203125,0.79296875,3,4.62109375,0.17578125,9,0.463217833,0.471353146,0.074676795,0,,
10,2.09375,3.3203125,0.29296875,1,9.12109375,0.67578125,10,0.463217833,0.471353146,0.074676795,1,,
11,8.90625,3.3203125,0.29296875,1,9.12109375,0.67578125,11,0.135232561,0.137124645,0.060353941,1,,
12,2.09375,2.4609375,0.29296875,1,9.12109375,0.67578125,12,0.135232561,0.137124645,0.060353941,1,,
13,2.09375,3.3203125,0.10546875,1,9.12109375,0.67578125,13,0.135232561,0.137124645,0.060353941,1,,
14,2.09375,3.3203125,0.29296875,4,9.12109375,0.67578125,14,0.135232561,0.137124645,0.060353941,1,,
15,2.09375,3.3203125,0.29296875,1,7.64453125,0.67578125,15,0.135232561,0.137124645,0.060353941,1,,
16,2.09375,3.3203125,0.29296875,1,9.12109375,0.73828125,16,0.142280699,0.14835123,0.058978754,1,,
17,8.90625,2.4609375,0.10546875,4,7.64453125,0.73828125,17,0.243860442,0.216017432,0.014702468,1,,
18,6.09375,8.3203125,0.79296875,3,4.62109375,0.17578125,18,0.135232561,0.137124645,0.060353941,1,,
19,4.90625,8.3203125,0.79296875,3,4.62109375,0.17578125,19,0.135232561,0.137124645,0.060353941,1,,
20,2.09375,3.3203125,0.29296875,1,9.12109375,0.67578125,20,0.243860442,0.216017432,0.014702468,2,,
21,8.90625,3.3203125,0.29296875,1,9.12109375,0.67578125,21,0.228223309,0.181497491,0.05960185,2,,
22,2.09375,2.4609375,0.29296875,1,9.12109375,0.67578125,22,0.135232561,0.137124645,0.060353941,2,,
23,2.09375,3.3203125,0.10546875,1,9.12109375,0.67578125,23,0.135232561,0.137124645,0.060353941,2,,
24,2.09375,3.3203125,0.29296875,4,9.12109375,0.67578125,24,0.142280699,0.14835123,0.058978754,2,,
25,2.09375,3.3203125,0.29296875,1,7.64453125,0.67578125,25,0.142280699,0.14835123,0.058978754,2,,
26,2.09375,3.3203125,0.29296875,1,9.12109375,0.73828125,26,0.142280699,0.14835123,0.058978754,2,,
27,8.90625,2.4609375,0.10546875,4,7.64453125,0.73828125,27,0.258228923,0.289792035,0.025321685,2,,
28,6.09375,8.3203125,0.79296875,3,4.62109375,0.17578125,28,0.243860442,0.216017432,0.014702468,2,,
29,4.90625,8.3203125,0.79296875,3,4.62109375,0.17578125,29,0.243860442,0.216017432,0.014702468,2,,
30,2.09375,3.3203125,0.29296875,1,9.12109375,0.67578125,30,0.228223309,0.181497491,0.05960185,3,,
31,8.90625,3.3203125,0.29296875,1,9.12109375,0.67578125,31,0.035224079,0.040570372,0.058927453,3,,
32,2.09375,2.4609375,0.29296875,1,9.12109375,0.67578125,32,0.142280699,0.14835123,0.058978754,3,,
33,2.09375,3.3203125,0.10546875,1,9.12109375,0.67578125,33,0.135232561,0.137124645,0.060353941,3,,
34,2.09375,3.3203125,0.29296875,4,9.12109375,0.67578125,34,0.243860442,0.216017432,0.014702468,3,,
35,2.09375,3.3203125,0.29296875,1,7.64453125,0.67578125,35,0.243860442,0.216017432,0.014702468,3,,
36,2.09375,3.3203125,0.29296875,1,9.12109375,0.73828125,36,0.228223309,0.181497491,0.05960185,3,,
37,8.90625,2.4609375,0.10546875,4,7.64453125,0.73828125,37,0.358395643,0.259740826,0.02293184,3,,
38,6.09375,8.3203125,0.79296875,3,4.62109375,0.17578125,38,0.228223309,0.181497491,0.05960185,3,,
39,4.90625,8.3203125,0.79296875,3,4.62109375,0.17578125,39,0.228223309,0.181497491,0.05960185,3,,
40,2.09375,3.3203125,0.29296875,1,9.12109375,0.67578125,40,0.258228923,0.289792035,0.025321685,4,,
41,8.90625,3.3203125,0.29296875,1,9.12109375,0.67578125,41,0.174754206,0.16076453,0.058107835,4,,
42,2.09375,2.4609375,0.29296875,1,9.12109375,0.67578125,42,0.228223309,0.181497491,0.05960185,4,,
43,2.09375,3.3203125,0.10546875,1,9.12109375,0.67578125,43,0.228223309,0.181497491,0.05960185,4,,
44,2.09375,3.3203125,0.29296875,4,9.12109375,0.67578125,44,0.243860442,0.216017432,0.014702468,4,,
45,2.09375,3.3203125,0.29296875,1,7.64453125,0.67578125,45,0.035224079,0.040570372,0.058927453,4,,
46,2.09375,3.3203125,0.29296875,1,9.12109375,0.73828125,46,0.035224079,0.040570372,0.058927453,4,,
47,8.90625,2.4609375,0.10546875,4,7.64453125,0.73828125,47,0.263053207,0.219453927,0.007914382,4,,
48,6.09375,8.3203125,0.79296875,3,4.62109375,0.17578125,48,0.135232561,0.137124645,0.060353941,4,,
49,4.90625,8.3203125,0.79296875,3,4.62109375,0.17578125,49,0.174754206,0.16076453,0.058107835,4,,
0,4.59375,3.9453125,0.10546875,1,1.80859375,0.86328125,0,2.176851975,1.770463326,0.231370878,0,,
1,4.59375,3.9453125,0.10546875,3,9.33203125,0.86328125,1,0.1620392,0.186314774,0.00803687,0,,
2,4.59375,3.9453125,0.10546875,3,1.80859375,0.80078125,2,2.107635709,1.727615131,0.214153836,0,,
3,8.40625,1.8359375,0.04296875,1,9.33203125,0.80078125,3,0.277466165,0.193656979,0.089133331,0,,
4,8.59375,8.9453125,0.60546875,1,6.30859375,0.36328125,4,0.104203832,0.108277331,0.058027179,0,,
5,4.40625,8.9453125,0.60546875,1,6.30859375,0.36328125,5,0.104203832,0.108277331,0.058027179,0,,
